,Hotel ID,Hotel Name,Hotel Address,Hotel Score,601,602,603,604,605,606,607,608,609,610,611,612,613,614,615,616,617,618,619,620,621,622,623,624,625,626,627,628,629,630,701,702,703,704,705,706,707,708,709,710,711,712,713,714,715,716,717,718,719,720,721,722,723,724,725,726,727,728,729,730,Time_Cost_NRT,Money_Cost_NRT,Time_Walk_NRT,Time_Cost_HND,Money_Cost_HND,Time_Walk_HND
47,47,HOTEL D-WAVE Shinjuku（Adult Only),160-0021 도쿄 도 新宿区歌舞伎町 2-8-6 일본,8.9,297375,370968,431044,385987,297375,297375,0,282356,355949,403544,370968,282356,282356,282356,0,355949,416025,370968,0,282356,330041,119588,98562,156894,165208,84482,90995,95784,122029,165959,1886568,127074,136205,281605,281605,259077,130745,424515,241567,338489,194335,219652,247813,325047,178350,183982,245859,0,0,153255,0,167622,363980,171310,0,518154,159576,233357,0,159576,75,26577,15,59,4876,15
48,48,Book Tea Bed SHINJUKU-GYOEN,160-0022 도쿄 도 Shinjuku-ku Shinjuku 1-12-8 일본,7.4,281605,0,281605,281605,281605,281605,281605,0,0,273157,281605,281605,281605,281605,281605,0,281605,281605,281605,0,137048,162833,280321,242180,162972,84482,993883,405167,405167,242180,287352,237647,887014,153255,466338,201147,321461,353471,766273,315032,466338,0,0,267194,234671,287237,321461,176003,315032,226577,315032,260485,241617,146550,141760,258617,767092,272369,0,152067,72,28298,8,58,14149,6
49,49,Blue Empire Hotel,169-0073 도쿄 도 1 Chome-15-8 Hyakunincho Shinjuku-ku 일본,6.6,117335,159576,136109,117335,91991,91991,0,107949,272247,91991,91991,91991,91991,0,107949,0,91991,91991,0,179351,159267,163791,0,160515,367213,367213,147843,157699,363980,268885,187925,102504,198273,234793,288767,283370,159950,285886,191614,180819,206510,218601,206510,223998,0,285886,206510,206510,272218,272218,239077,145214,131406,134088,272218,239077,194308,263958,552697,197077,65,26290,7,53,4876,7
50,50,호텔 페리에(성인 전용)(HOTEL PERRIER (Adult Only)),160-0021 도쿄 도 Shinjuku-ku Kabuki-cho 2-7-12 일본,8.2,216273,0,324409,0,0,216273,0,223031,253445,314677,246686,216273,0,216273,216273,253445,324409,246686,216273,207825,149399,431795,0,380991,357179,423159,336777,423159,993883,356700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,26672,15,64,14436,6
51,51,호텔 안 신주쿠 가부키초 (성인 전용)(HOTEL AN Shinjuku Kabukicho (Adult Only)),160-0021 도쿄 도 Kabukicho 2-7-5 일본,8.5,190590,222431,293395,209364,181879,181879,0,0,222431,284593,209364,181879,0,181879,0,0,293395,209364,0,0,2343856,149423,113025,312639,587827,222609,0,107902,0,331121,136672,466338,223998,206510,283645,278138,267178,261142,184509,173494,277774,272218,277774,217554,127074,145731,277774,277774,2486344,1712088,140793,212894,206510,272218,2035603,140793,143667,261893,349530,194308,72,26577,12,56,4876,12
52,52,호텔 더 호텔(성인 전용)(HOTEL THE HOTEL SHINJUKU (Adult Only)),160-0021 도쿄 도 Shinjuku-ku Kabukicho 2-12-10 일본,6.7,101209,0,0,0,101209,101209,101209,101209,0,0,0,101209,101209,101209,101209,0,0,0,101209,101209,330041,272218,0,0,0,112642,201147,156197,747699,0,0,0,103274,491176,306762,466338,0,0,0,466338,129213,905116,905116,0,0,0,0,141952,466338,69683,0,0,0,156511,258617,993883,466338,0,0,0,76,26672,15,61,4876,17
53,53,아파 호텔 히가시 신주쿠 가부키초(APA Hotel Higashi Shinjuku Kabukicho),160-0021 도쿄 도 Shinjuku-ku Kabukicho 2-19-14 일본,7.5,137048,148312,195246,137048,114519,137048,137048,148358733,170496,236736,274481,887014,405646,311202,212028,114529,212028,276260,0,248751,164739,243983,160346,280321,322907,552697,664588,72,26290,14,60,4876,14
57,57,Hotel Matsunoi,160-0073 도쿄 도 Shinjuku-ku Hyakunincho 1-7-19  일본,8.4,140427,0,0,148688,140427,140427,140427,140427,115646,0,148688,140427,140427,0,0,115646,0,115646,140427,140427,239077,501200,316087,0,197124,728189,176166,220303,129538,0,236548,138925,179595,113983,187741,269728,211350,150142,150860,133762,208816,718381,150189,190264,887014,280667,181990,147843,138925,226779,376431,259082,244659,143619,171310,518154,311298,321461,273942,152067,63,26290,5,51,4876,5
59,59,아파트 호텔 신주쿠(Apartment Hotel Shinjuku),160-0022 도쿄 도 Shinjuku-ku Shinjuku 4-4-10 일본,7.4,127074,127074,0,127074,127074,127074,127074,127074,127074,0,127074,127074,127074,127074,127074,127074,0,0,127074,127074,162833,272218,350035,771842,252529,227152,161078,107902,187925,0,380167,263582,126985,281171,84290,82604,90995,149806,163618,82604,101209,101209,103274,308789,302613,151231,82604,84290,101209,103274,302613,330323,282638,103274,306762,101209,306762,294277,346281,282638,70,26577,10,54,4876,10
60,60,니시테츠 인 신주쿠(Nishitetsu Inn Shinjuku),160-0023 도쿄 도 Shinjuku-ku Nishishinjuku 7-23-2 일본,8.3,300379,272218,300379,281605,248751,253445,262832,253445,281605,282262,234671,234671,220591,234671,0,220591,290992,234671,248751,234671,244067,1014167,993883,373371,336853,114519,330041,125784,356700,143676,363980,125784,103267,343558,236736,93868,397063,0,194335,219652,84482,338489,163618,156894,274481,281605,345397,245859,219652,0,552697,199231,285360,311202,108891,276260,139462,322907,235361,0,73,26577,13,57,14531,7
