Hotel Name,Hotel Address,Hotel Score,601,602,603,604,605,606,607,608,609,610,611,612,613,614,615,616,617,618,619,620,621,622,623,624,625,626,627,628,629,630,701



EAST ONE Higashishinjuku,160-0022 도쿄 도 7-19-9 Shinjuku Shinjuku-ku 일본,8.6,811023,0,0,0,0,0,0,0,0,0,946193,0,0,0,0,946193,946193,946193,0,0,336777,174327,0,0,0,0,0,0,0,0,0



Hotel Shu,162-0067 도쿄 도 Shinjuku-ku Tomihisa-cho 16-18 일본,7.1,150377,0,194139,152067,152067,152067,0,152067,192618,221093,152067,152067,152067,152067,152067,192618,192618,152067,152067,0,294277,357179,100573,468591,93868,84482,93868,2343856,224533,196185,196185



Sakura Cross Hotel Shinjuku East Annex,160-0022 도쿄 도 Shinjuku-ku Shijuku 6-23-11 일본,8.8,236548,0,0,301599,0,301599,0,301599,0,0,184165,301599,184165,184165,184165,307513,307513,0,0,0,0,350035,0,0,168580,0,93868,423159,993883,0,0



"Kimpton Shinjuku Tokyo, an IHG Hotel",160-0023 도쿄 도 Nishishinjuku 3-4-7  일본,8.7,0,0,0,0,718381,718381,718381,718381,0,890792,718381,675278,675278,675278,675278,675278,890792,675278,675278,675278,0,0,0,0,0,0,0,0,0,0,0



Stay SAKURA Tokyo Shinjuku Hyakukura,169-0073 도쿄 도 Shinjuku-ku Hyakunincho 2-24-30  일본,8.5,247,"813""",0,400255,362707,165959,165959,165959,165959,187737,240378,187737,210265,285360,296624,371719,0,468591,334172,296624,0,137048,226411,157699,287352,133762,129538,176166,166894,129538,210725,196185



HOTEL D-WAVE Shinjuku（Adult Only),160-0021 도쿄 도 新宿区歌舞伎町 2-8-6 일본,8.9,297375,370968,431044,385987,297375,297375,0,282356,355949,403544,370968,282356,282356,282356,0,355949,416025,370968,0,282356,330041,119588,98562,156894,165208,84482,90995,95784,122029,165959,242180



Book Tea Bed SHINJUKU-GYOEN,160-0022 도쿄 도 Shinjuku-ku Shinjuku 1-12-8 일본,7.4,281605,0,281605,281605,281605,281605,281605,0,0,273157,281605,281605,281605,281605,281605,0,281605,281605,281605,0,137048,162833,280321,242180,162972,84482,993883,405167,405167,242180,993883



Blue Empire Hotel,169-0073 도쿄 도 1 Chome-15-8 Hyakunincho, Shinjuku-ku 일본,6.6,117335,159576,0,136109,117335,91991,91991,0,107949,272247,91991,91991,91991,91991,0,107949,0,91991,91991,0,179351,159267,163791,0,160515,367213,367213,147843,157699,363980,268885



호텔 페리에(성인 전용)(HOTEL PERRIER (Adult Only)),160-0021 도쿄 도 Shinjuku-ku Kabuki-cho 2-7-12 일본,8.2,216273,0,324409,0,0,216273,0,223031,253445,314677,246686,216273,0,216273,216273,253445,324409,246686,216273,207825,149399,431795,0,380991,357179,423159,336777,423159,993883,356700,181990



호텔 안 신주쿠 가부키초 (성인 전용)(HOTEL AN Shinjuku Kabukicho (Adult Only)),160-0021 도쿄 도 Kabukicho 2-7-5 일본,8.5,190590,222431,293395,209364,181879,181879,0,0,222431,284593,209364,181879,0,181879,0,0,293395,209364,0,0,2343856,149423,113025,312639,587827,222609,0,107902,0,331121,244058



