index,Hotel Name,Date,Day,Hotel Score,Hotel Score Round,Price
165,시타딘스 센트럴 신주쿠 도쿄 (Citadines Central Shinjuku Tokyo),2023-06-02,금,8.0,8,194710
166,프리미어 호텔 캐빈 신주쿠(Premier Hotel Cabin Shinjuku),2023-06-02,금,7.7,8,138933
167,Bespoke Hotel Shinjuku,2023-06-02,금,8.5,8,296249
168,호텔 그레이서리 신주쿠(Hotel Gracery Shinjuku),2023-06-02,금,8.3,8,254796
169,Sotetsu Fresa Inn Higashi Shinjuku,2023-06-02,금,8.2,8,195246
170,도큐 스테이 신주쿠(Tokyu Stay Shinjuku),2023-06-02,금,8.4,8,283107
171,호텔 & 스파 제이-멕스 신주쿠 가부키초(성인 전용)(HOTEL & SPA J-MEX Shinjuku Kabukicho (Adult Only)),2023-06-02,금,8.7,9,290429
172,HOTEL MYSTAYS Nishi Shinjuku,2023-06-02,금,7.6,8,181032
173,HOTEL AMANEK Shinjuku Kabukicho,2023-06-02,금,8.5,8,245898
174,시타딘 신주쿠 도쿄(Citadines Shinjuku Tokyo),2023-06-02,금,8.6,9,299766
175,JR Kyushu Hotel Blossom Shinjuku (JR Kyushu Hotel Blossom Shinjuku),2023-06-02,금,8.7,9,306762
176,HOTEL D-WAVE Shinjuku（Adult Only),2023-06-02,금,8.9,9,370968
177,Blue Empire Hotel,2023-06-02,금,6.6,7,159576
178,호텔 안 신주쿠 가부키초 (성인 전용)(HOTEL AN Shinjuku Kabukicho (Adult Only)),2023-06-02,금,8.5,8,222431
179,아파트 호텔 신주쿠(Apartment Hotel Shinjuku),2023-06-02,금,7.4,7,127074
180,니시테츠 인 신주쿠(Nishitetsu Inn Shinjuku),2023-06-02,금,8.3,8,272218
181,Tokyu Stay Yotsuya,2023-06-02,금,7.9,8,251380
182,호텔 리스텔 신주쿠(Hotel Listel Shinjuku),2023-06-02,금,7.4,7,122029
183,파크 하얏트 도쿄(Park Hyatt Tokyo),2023-06-02,금,9.2,9,1744803
184,호텔 빌라 폰테인 도쿄-신주쿠(Hotel Villa Fontaine Tokyo-Shinjuku),2023-06-02,금,7.9,8,153756
185,신주쿠 시티 호텔 N.U.T.S 도쿄(Shinjuku City Hotel N.U.T.S Tokyo),2023-06-02,금,7.7,8,165208
186,Hotel Petit Bali Garden Shin-Okubo (Adult Only),2023-06-02,금,8.3,8,202104
187,Hotel Balian Resort Higashi Shinjuku (Adult Only),2023-06-02,금,8.1,8,245207
188,로열 호텔 신오쿠보,2023-06-02,금,7.9,8,131416
189,粋,2023-06-02,금,7.3,7,219652
190,Hotel QUEEN ANNEX,2023-06-02,금,7.8,8,242180
191,Shinokubo guest house,2023-06-02,금,9.2,9,384860
192,더 신-오쿠보 인터내셔널 호텔,2023-06-02,금,6.9,7,140803
193,호텔 시에나(Hotel Siena),2023-06-02,금,6.6,7,143676
194,신주쿠 이스트 호텔 (Shinjuku East Hotel),2023-06-02,금,7.0,7,112642
195,호텔 타테시나(Hotel Tateshina),2023-06-02,금,6.5,6,97112
196,HOTEL LiVEMAX Shinjuku Kabukicho-Meijidori,2023-06-02,금,5.1,5,128130
197,Keio Presso Inn Shinjuku,2023-06-02,금,7.8,8,209514
198,HOTEL LiVEMAX Shinjuku EAST,2023-06-02,금,6.2,6,128130
199,레지던스 호텔 윌 신주쿠 (Residence Hotel Will Shinjuku),2023-06-02,금,6.4,6,146435
200,COCOSHUKU Shinjuku-Hanazono,2023-06-02,금,8.1,8,278789
201,Hotel BaliAn Resort Shinjuku Glamping,2023-06-02,금,9.0,9,382983
202,TOKYO E JOY INN（Okubo branch in Shinjuku）,2023-06-02,금,6.7,7,150180
203,Hotel Yuyukan - Vacation STAY 10008v,2023-06-02,금,6.1,6,145731
204,Hotel Rose Garden Shinjuku - Vacation STAY 72146v,2023-06-02,금,7.0,7,234793
205,SHINJUKU WARM HOUSE,2023-06-02,금,8.3,8,309766
206,HOTEL LiVEMAX Shinjuku Kabukicho,2023-06-02,금,6.3,6,146435
207,Hotel Koryukaku,2023-06-02,금,5.8,6,143676
208,SHINJUKU GLOBAL HOTEL,2023-06-02,금,7.6,8,234671
209,신주쿠 어반 호텔(Shinjuku Urban Hotel),2023-06-02,금,7.6,8,309766
210,하나비 호텔(Hanabi Hotel),2023-06-02,금,6.8,7,104297
211,호텔 선라이트 신주쿠(Hotel Sunlite Shinjuku),2023-06-02,금,7.5,8,179236
212,Hotel Rose Garden Shinjuku - Vacation STAY 72147v,2023-06-02,금,9.7,10,223998
213,토큐 스테이 니시 신주쿠(Tokyu Stay Nishi Shinjuku),2023-06-02,금,8.0,8,195246
214,Hotel Keihan Tokyo Yotsuya,2023-06-02,금,8.3,8,157699
215,GLOU Higashi Shinjuku,2023-06-02,금,8.1,8,140803
216,Daiwa Roynet Hotel Nishi-Shinjuku PREMIER,2023-06-02,금,8.8,9,306289
217,Super Hotel Shinjuku Kabukicho,2023-06-02,금,8.0,8,379529
218,634 Condo Shinjuku - Vacation STAY 01902v,2023-06-02,금,10.0,10,626102
