,Hotel Name,Hotel Address,Hotel Score,601,602,603,604,605,606,607,608,609,610,611,612,613,614,615,616,617,618,619,620,621,622,623,624,625,626,627,628,629,630,701,702,703,704,705,706,707,708,709,710,711,712,713,714,715,716,717,718,719,720,721,722,723,724,725,726,727,728,729,730
19,Hotel DIAMOND,150-0043 도쿄 도  渋谷区道玄坂2-28-9  일본,7.4,265648,307888,549130,305312,183832,0,209882,182480,470108,353555,216062,219577,0,164365,249737,322344,454304,216062,209524,168513,0,374133,217624,335772,168513,183381,208726,0,0,368621,376144,297375,216062,0.0,205684.0,249737.0,345483.0,353555.0,170113.0,436488.0,0.0,244575.0,249737.0,322344.0,289115.0,321781.0,225284.0,250328.0,426239.0,250328.0,300379.0,284479.0,213119.0,0.0,0.0,436488.0,0.0,220553.0,312957.0,193744.0
20,SALON Shibuya,150-0042 도쿄 도  Shibuya-ku  Udagawa-cho  42-12  일본,7.4,209514,233592,417207,299206,216062,0,314271,240251,217624,549130,187737,183982,259958,417714,417714,220778,0,445396,436488,436488,341118,0,0,560337,0,426239,0,470224,512972,331413,549130,196185,214630,0.0,481804.0,314271.0,217624.0,549130.0,173657.0,175046.0,259958.0,417714.0,417714.0,220778.0,339616.0,403399.0,436488.0,436488.0,0.0,254019.0,240226.0,205936.0,0.0,422983.0,505200.0,280073.0,412408.0,308746.0,0.0,280973.0
21,Tabist Hotel New Washington Shibuya,150-0047 도쿄 도  Shibuya-ku Kamiyamacho 6-2  일본,6.6,168963,181166,417207,208617,216062,0,314271,306442,222066,331413,187737,187737,0,417714,175722,294629,502196,173657,445396,436488,0,464553,322470,353555,417714,208726,417714,0,0,324785,324785,196185,169149,0.0,502196.0,427580.0,322263.0,331413.0,173657.0,178618.0,0.0,417714.0,426239.0,455262.0,289115.0,403399.0,436488.0,436488.0,178435.0,436488.0,400856.0,439074.0,275354.0,0.0,0.0,275354.0,0.0,315047.0,201817.0,417714.0
22,The Millennials Shibuya / Vacation STAY 80745,150-0041 도쿄 도  Jinnan 1-20-13 The Millennials Shibuya  일본,8.0,159764,181354,435643,287500,331618,348079,512445,202296,345483,560337,384729,269440,331618,352344,404160,404160,446976,378909,290166,341981,287237,331618,338386,523441,386642,281605,338386,470224,512972,231855,307888,353640,331618,348079.0,204346.0,512445.0,314271.0,560337.0,384729.0,269440.0,331618.0,352344.0,404160.0,404160.0,641215.0,654301.0,269996.0,335091.0,314593.0,281605.0,438193.0,697921.0,232640.0,268792.0,505200.0,281605.0,412408.0,326437.0,489744.0,255782.0
23,The Millennials Shibuya / Vacation STAY 80776,150-0041 도쿄 도  Jinnan 1-20-13 The Millennials Shibuya  일본,8.2,159764,181354,435643,360857,331618,341118,427477,326437,328840,549130,392581,274939,331618,359535,404160,404160,512972,378909,290166,348961,348079,331618,331618,512972,378909,281605,331618,479821,523441,231855,307888,360857,331618,341118.0,427477.0,326437.0,512445.0,549130.0,392581.0,274939.0,331618.0,359535.0,404160.0,404160.0,654301.0,641215.0,264596.0,328389.0,308301.0,281605.0,429429.0,683963.0,227988.0,268792.0,515510.0,281605.0,404160.0,333099.0,479949.0,250666.0
24,Prince Smart Inn Ebisu,150-0022 도쿄 도  Shibuya-ku Ebisuminami 3-11-25   일본,8.0,0,0,643669,0,0,0,0,0,0,332064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314172,236587,0,0,0.0,0.0,0.0,0.0,332064.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,도미 인 익스프레스 메구로 아오바다이 핫 스프링(Dormy Inn Express Meguro Aobadai Hot Spring),153-0042 도쿄 도  Meguro-ku Aobadai 3-21-8  일본,8.2,0,0,630796,0,0,0,0,0,0,325423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307888,231855,0,0,0.0,0.0,0.0,0.0,325423.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,토큐 스테이 아오야마 프리미어(Tokyu Stay Aoyama Premier),107-0062 도쿄 도  Minato-ku  Minamiaoyama 2-27-18  일본,8.2,0,0,0,0,0,0,0,0,0,1249982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,598467,598467,0,0,0.0,0.0,0.0,0.0,1249982.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,THE AOYAMA GRAND HOTEL,107-0061 도쿄 도  Minato-ku Kitaaoyama 2-14-4  일본,9.2,0,0,598467,0,0,0,0,0,0,555720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,425722,425722,0,0,0.0,0.0,0.0,0.0,555720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Act Hotel Shibuya,153-0044 도쿄 도  Meguro-ku Ohashi 2-22-7  일본,8.2,0,0,6726341,0,0,0,0,0,0,325423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307888,231855,0,0,0.0,0.0,0.0,0.0,325423.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,Olympic Inn Shibuya,153-0044 도쿄 도  Oohashi2-22-6  일본,6.9,0,0,598467,0,0,0,0,0,0,555720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,598467,598467,0,0,0.0,0.0,0.0,0.0,555720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
