Hotel Name,mean_price,Time_Cost_NRT,Money_Cost_NRT,Time_Walk_NRT,Time_Cost_HND,Money_Cost_HND,Time_Walk_HND
Tokyu Stay Yotsuya,250265.0,83.0,31070.0,10.0,56.0,6214.0,10.0
HOTEL LiVEMAX Akasaka GRANDE,700116.0,81.0,31070.0,10.0,50.0,5640.0,5.0
Hotel Shu,440560.0,98.0,31357.0,11.0,65.0,14149.0,11.0
THE LIVELY TOKYO AZABUJUBAN(The LIVELY TOKYO AZABUJUBAN),440531.0,91.0,13480.0,9.0,47.0,4493.0,8.0
HOTEL LiVEMAX Akasaka,331146.0,82.0,31070.0,11.0,51.0,5640.0,6.0
KARIO SASAZUKA TERRACE,285540.0,92.0,14722.0,5.0,68.0,6310.0,3.0
Book Tea Bed SHINJUKU-GYOEN,508783.0,93.0,31357.0,6.0,58.0,6214.0,8.0
쉐라톤 미야코 호텔 도쿄(Sheraton Miyako Hotel Tokyo),429720.0,89.0,33078.0,10.0,41.0,2868.0,17.0
게이오 플라자 호텔 도쿄(Keio Plaza Hotel Tokyo),525343.0,98.0,32886.0,6.0,59.0,5067.0,6.0
센츄리온 호텔 레지덴셜 아카사카 스테이션(Centurion Hotel Residential Akasaka Station),439669.0,82.0,31070.0,11.0,49.0,5640.0,12.0
Hotel QUEEN ANNEX,276928.0,91.0,31070.0,9.0,60.0,6214.0,10.0
파크 하얏트 도쿄(Park Hyatt Tokyo),341920.0,101.0,32886.0,11.0,63.0,5832.0,6.0
게이오 프레소 인 아카사카(Keio Presso Inn Akasaka),371353.0,80.0,31070.0,9.0,49.0,5640.0,4.0
ART HOTELS SHIBUYA,850683.0,91.0,14722.0,8.0,67.0,6310.0,6.0
호텔 아베스트 메구로(Hotel Abest Meguro),447366.0,82.0,31070.0,5.0,39.0,4493.0,5.0
호텔 록스(Hotel Rocks),512430.0,91.0,31070.0,9.0,55.0,10612.0,14.0
Sotetsu Fresa Inn Tokyo-Akasaka,203713.0,80.0,31070.0,9.0,43.0,7935.0,19.0
MIMARU TOKYO SHINJUKU WEST,306566.0,91.0,13480.0,11.0,61.0,12428.0,6.0
매로드 인 아카사카(Marroad Inn Akasaka),1399688.0,83.0,31070.0,12.0,49.0,4493.0,16.0
Hotel Yuyukan - Vacation STAY 10008v,633618.0,97.0,31357.0,7.0,57.0,4876.0,11.0
호텔 미드 인 메구로 에키마에(Hotel Mid In Meguro Ekimae),678115.0,84.0,31070.0,7.0,41.0,4493.0,7.0
Cerulean Tower Tokyu Hotel  A Pan Pacific Partner Hotel,280498.0,82.0,31070.0,6.0,47.0,10516.0,11.0
Mitsui Garden Hotel Jingugaien Tokyo Premier,520299.0,94.0,13480.0,5.0,46.0,4493.0,8.0
더 리츠-칼튼  도쿄(The Ritz-Carlton  Tokyo),551512.0,89.0,31070.0,16.0,45.0,4493.0,12.0
호텔 윙 인터내셔널 프리미엄 도쿄 요츠야 (Hotel Wing International Premium Tokyo Yotsuya),500444.0,92.0,31070.0,7.0,57.0,6214.0,13.0
게이오 프라자 호텔 도쿄 프리미어 그랜드 (Keio Plaza Hotel Tokyo Premier Grand),356627.0,98.0,32886.0,6.0,55.0,12428.0,1.0
Kimpton Shinjuku Tokyo  an IHG Hotel,286017.0,100.0,32886.0,10.0,58.0,14436.0,3.0
COCOSHUKU Shinjuku-Hanazono,195397.0,89.0,13480.0,11.0,59.0,6214.0,14.0
Hotel Rose Garden Shinjuku - Vacation STAY 72146v,221978.0,93.0,14531.0,8.0,93.0,14531.0,8.0
Hotel Rose Garden Shinjuku - Vacation STAY 72147v,204586.0,93.0,14531.0,8.0,93.0,14531.0,8.0
Pod Select Hotel Shinjuku,361276.0,93.0,14531.0,8.0,93.0,14531.0,8.0
THE LIVELY AZABUJUBAN TOKYO / Vacation STAY 77702,247275.0,93.0,14531.0,8.0,93.0,14531.0,8.0
Keio Presso Inn Shinjuku,274471.0,93.0,14531.0,8.0,93.0,14531.0,8.0
Hotel Yuyukan Center of Kabukicho  Shinjuku,329025.0,93.0,14531.0,8.0,93.0,14531.0,8.0
아카사카 어반 호텔(Akasaka Urban Hotel),588742.0,93.0,14531.0,8.0,93.0,14531.0,8.0
호텔 가조엔 도쿄(Hotel Gajoen Tokyo),390549.0,93.0,14531.0,8.0,93.0,14531.0,8.0
호텔 선라이트 신주쿠(Hotel Sunlite Shinjuku),332888.0,93.0,14531.0,8.0,93.0,14531.0,8.0
그랜드 프린스 호텔 다카나와(Grand Prince Hotel Takanawa),302731.0,93.0,14531.0,8.0,93.0,14531.0,8.0
Grand Prince Hotel Shin Takanawa,318999.0,93.0,14531.0,8.0,28.0,2868.0,8.0
시나가와 프린스 호텔(Shinagawa Prince Hotel),416778.0,85.0,14818.0,4.0,24.0,2868.0,4.0
신주쿠 그랑벨 호텔(Shinjuku Granbell Hotel),286075.0,91.0,13480.0,13.0,63.0,4876.0,17.0
APA Hotel Shinjuku Kabukicho Chuo,309014.0,92.0,13480.0,14.0,59.0,4876.0,13.0
APA 호텔 신주쿠-가부키쵸 타워(APA Hotel Shinjuku-Kabukicho Tower),393843.0,74.0,27820.0,6.0,58.0,4876.0,12.0
도쿄 프린스 호텔 (Tokyo Prince Hotel),387427.0,85.0,12906.0,13.0,40.0,4111.0,13.0
APA Hotel Higashi Shinjuku Kabukicho Tower,504767.0,94.0,13480.0,16.0,62.0,4876.0,14.0
APA Hotel Pride Kokkaigijidomae - National Diet Bldg.,339019.0,88.0,14436.0,12.0,38.0,7935.0,13.0
호텔 그레이서리 신주쿠(Hotel Gracery Shinjuku),343021.0,95.0,13480.0,17.0,60.0,4876.0,14.0
Sotetsu Fresa Inn Daimon,190740.0,78.0,12906.0,6.0,32.0,4111.0,5.0
시바 파크 호텔(Shiba Park Hotel),314678.0,79.0,12906.0,7.0,33.0,4111.0,6.0
Miyako City Tokyo Takanawa,534968.0,75.0,31070.0,11.0,28.0,2868.0,8.0
Shizutetsu Hotel Prezio Tokyo Tamachi,261798.0,72.0,26577.0,9.0,32.0,6214.0,13.0
La'gent Hotel Shinjuku Kabukicho,293454.0,79.0,26290.0,13.0,61.0,4876.0,13.0
호텔 몬토레 한조몬(Hotel Monterey Hanzomon),346362.0,81.0,26577.0,11.0,62.0,11568.0,8.0
HOTEL CEN,252253.0,74.0,26290.0,8.0,56.0,4876.0,8.0
네스트 호텔 도쿄 한조몬(Nest Hotel Tokyo Hanzomon),313208.0,83.0,31357.0,9.0,62.0,11568.0,8.0
시나가와 토부 호텔(Shinagawa Tobu Hotel),340664.0,75.0,31070.0,11.0,28.0,2868.0,8.0
호텔 그랜드 아크 한조몬(Hotel Grand Arc Hanzomon),282092.0,82.0,31357.0,8.0,63.0,11568.0,9.0
APA 호텔 시나가와 센가쿠지 에키마에(APA Hotel Shinagawa Sengakuji Eki-Mae),327310.0,74.0,32408.0,5.0,25.0,2868.0,2.0
Hotel Keihan Tokyo Yotsuya,337500.0,69.0,26290.0,9.0,45.0,6501.0,12.0
Tokyu Stay Shinjuku Eastside,270335.0,80.0,26672.0,13.0,61.0,14436.0,6.0
JR-East Hotel Mets Gotanda,331889.0,75.0,27246.0,3.0,35.0,4111.0,3.0
프리미어 호텔 캐빈 신주쿠(Premier Hotel Cabin Shinjuku),408470.0,79.0,26290.0,13.0,61.0,4876.0,13.0
Hotel Wing International Shimbashi Onarimon,273959.0,71.0,26290.0,13.0,35.0,4111.0,8.0
소테츠 프레사 인 도쿄 타마치 (Sotetsu Fresa Inn Tokyo Tamachi),327784.0,72.0,26577.0,9.0,31.0,6214.0,13.0
Hotel Villa Fontaine Grand Tokyo-Tamachi,262058.0,73.0,26577.0,10.0,36.0,2868.0,13.0
아파 호텔 히가시-신주쿠-에키마에(APA Hotel Higashi-Shinjuku-Ekimae),378510.0,79.0,26672.0,12.0,64.0,4876.0,16.0
APA 호텔 - 히가시신주쿠 가부키초 히가시(APA Hotel - Higashishinjuku Kabukicho Higashi),434235.0,80.0,26290.0,14.0,62.0,4876.0,14.0
HOTEL MYSTAYS Nishi Shinjuku,463394.0,80.0,26577.0,11.0,57.0,4876.0,11.0
Galois Hotel Shinokubo,416300.0,71.0,26290.0,5.0,53.0,4876.0,5.0
Smile Hotel Shinagawasengakujiekimae,254686.0,75.0,32408.0,6.0,26.0,2868.0,3.0
Mitsui Garden Hotel Gotanda - Tokyo,367929.0,78.0,27246.0,6.0,38.0,4111.0,6.0
E 호텔 히가시 신주쿠(E Hotel Higashi Shinjuku),296817.0,79.0,26672.0,12.0,64.0,14436.0,6.0
더 프린스 파크 타워 도쿄(The Prince Park Tower Tokyo),463923.0,78.0,28011.0,17.0,40.0,4111.0,12.0
아파 호텔 히가시 신주쿠 가부키초(APA Hotel Higashi Shinjuku Kabukicho),430729.0,80.0,26290.0,14.0,58.0,4876.0,14.0
GLOU Higashi Shinjuku,307373.0,80.0,26290.0,14.0,58.0,4876.0,14.0
Blue Empire Hotel,341249.0,72.0,26290.0,6.0,50.0,4876.0,6.0
Stay SAKURA Tokyo Shinjuku Hyakukura,310039.0,76.0,26290.0,10.0,54.0,4876.0,10.0
호텔 마이스테이스 고탄다역(Hotel Mystays Gotanda Station),247126.0,77.0,27246.0,5.0,33.0,4302.0,6.0
APA 호텔 미타-에키마에(APA Hotel Mita-Ekimae),177727.0,72.0,26577.0,9.0,29.0,4111.0,3.0
아파 호텔 신바시 도라노몬(APA Hotel Shimbashi Toranomon),267810.0,68.0,26290.0,10.0,41.0,4111.0,11.0
호텔 & 스파 제이-멕스 신주쿠 가부키초(성인 전용)(HOTEL & SPA J-MEX Shinjuku Kabukicho (Adult Only)),355036.0,80.0,26672.0,13.0,63.0,14436.0,8.0
the b shimbashi toranomon,283621.0,68.0,26290.0,10.0,39.0,6214.0,13.0
호텔 마이스테이스 고탄다(HOTEL MYSTAYS Gotanda),319769.0,81.0,27246.0,9.0,32.0,4876.0,5.0
Hotel Grand Hill Ichigaya,433331.0,67.0,26290.0,7.0,53.0,6501.0,11.0
토큐 스테이 다카나와(Tokyu Stay Takanawa),338142.0,74.0,32408.0,5.0,26.0,2868.0,2.0
